HGNC symbol	MIM morbid accession
MT-TF	
MT-RNR1	500008
MT-TV	
MT-RNR2	
MT-TL1	
MT-ND1	540000
MT-ND1	535000
MT-TI	
MT-TQ	
MT-TM	
MT-ND2	535000
MT-TW	
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	540000
MT-CO1	500008
MT-TS1	
MT-TD	
MT-CO2	540000
MT-TK	
MT-ATP8	
MT-ATP6	551500
MT-ATP6	535000
MT-CO3	540000
MT-CO3	535000
MT-TG	
MT-ND3	
MT-TR	
MT-ND4L	535000
MT-ND4	535000
MT-TH	
MT-TS2	
MT-TL2	
MT-ND5	540000
MT-ND5	535000
MT-ND6	540000
MT-ND6	535000
MT-TE	
MT-CYB	540000
MT-CYB	535000
MT-TT	
MT-TP	
	
HSFY5P	
	
	
CXADRP2	
	
HIST1H2BPS3	
	
CDCA2	
ZNF734P	
PKIA-AS1	
	
BAZ1B	
GALNT15	
NOV	
	
TMEM106C	
	
HOXA11-AS	
	
	
UBQLN1P1	
EIF4A1P9	
	
	
MTRNR2L7	
IFITM4P	
LINC01775	
	
CCDC80	
	
LEMD2	
MRPL42	
HCLS1	
RPA2P2	
CALM2P2	
	
TAP2	604571
B3GAT3	245600
COMP	177170
COMP	132400
IREB2	
	
TNK1	
ACAP3	
	
LINC01351	
	
DPY19L2P4	
	
	
	
	
SAR1A	
	
	
	
	
	
	
USP9YP17	
	
	
RIPOR1	
INHBC	
	
DCAF12L2	
SEPT7P5	
	
	
	
ATN1	125370
STEAP2	
	
	
CD24	
	
	
PKD1P6	
	
	
TCTN2	616654
TCTN2	613885
WBP1LP3	
LINC02084	
HAAO	617660
	
	
NBPF15	
OR4F21	
CLEC9A	
PHKG1P2	
	
GRAMD4P6	
PKIA	
EIF4A2P5	
	
SEPT14P8	
IL6	604302
IL6	266600
IL6	148000
IL6	108010
HOXA11	605432
	
	
TM9SF4	
	
NDUFV3	
	
	
GLI3	241800
GLI3	189960
GLI3	175700
GLI3	174700
GLI3	174200
GLI3	146510
	
SAA2	
TNFSF11	259710
ZNF248	
	
TULP3P1	
	
TRHDE	
	
	
PAX6	604229
PAX6	206700
PAX6	194072
PAX6	165550
PAX6	148190
PAX6	136520
PAX6	120430
PAX6	106210
CDC42P2	
YDJC	
UGT2B15	
	
POTEB3	
	
SHISA2	
SYT17	
RPL23AP53	
SLC22A7	
	
CD72	
	
	
	
ZNF596	
ZNF815P	
GTPBP3	616198
COL7A1	607523
COL7A1	604129
COL7A1	226600
COL7A1	132000
COL7A1	131850
COL7A1	131750
COL7A1	131705
	
BRD1	
ZNF90P1	
	
PLA2G2A	
SENP7	
	
SCN10A	615551
	
ATF7	
C12orf57	218340
CDY12P	
	
RFWD2P1	
ELOCP15	
	
TMEM256-PLSCR3	
THEMIS3P	
AKR1B1P6	
HOTTIP	
	
STON1-GTF2A1L	
	
PRY2	415000
	
	
	
	
HOXA13	176305
HOXA13	140000
LRRC3	
SCTR	
HMGN2P30	
GAPDHP31	
	
EOMES	
	
	
SDHB	612359
SDHB	606864
SDHB	606764
SDHB	171300
SDHB	115310
	
PFN1P6	
	
TMCO5B	
UGT2A3	
HES5	
GADD45B	
	
PSMC1P9	
	
PLCZ1	617214
GFRA2	
	
TMEM256	
	
RAD51AP1	
	
TLK2P2	
DENND4C	
	
ZNF33BP1	
TRHDE-AS1	
SLC29A4P2	
	
MTCO1P53	
	
MTND4LP1	
TAS2R42	
	
LINC01964	
CCDC116	
	
OCM	
	
MTND4P24	
TPH2	613003
TPH2	608516
RPL14P3	
TNRC18P2	
	
SCOC	
	
DCAF12L1	
	
PLSCR3	
LSM3P3	
SAA2-SAA4	
	
LILRA6	
HLA-V	
RPL23AP83	
FAM216B	
	
SDF2L1	
KLF8	
TESK1	
	
	
	
	
HLA-P	
	
SAA4	
IGBP1P3	
HCG4	
RPL30P4	
BRWD1-AS1	
	
RAB12	
GHET1	
MTCYBP38	
	
TIMM9P2	
	
	
COX6CP5	
MRAP	607398
LINC01050	
METTL21AP1	
EIF3F	
HLA-P	
STEAP2-AS1	
MTCYBP6	
	
MTND4P6	
	
	
RPS2P28	
LINC00428	
SMIM18	
BRWD1	
STEAP1	
ITPRIPL2	
	
	
RPL12P47	
RPL7AP7	
	
	
VARS	
VIT	
ZNF318	
PRR32	
EVX1-AS	
TRBV17	
MICC	
HLA-DOB	
RPL7AP7	
GTF2E2	616943
TRBV18	
EVX1	
INTS11	
	
	
	
MYOSLID	
MICG	
TRBV19	
CHCHD3P2	
	
	
ZNF43	
GAPDHP44	
PDIA4	
PPM1H	
	
METTL21A	
TTTY6B	
	
	
MUC6	
	
S1PR1	
PSMF1	
MTND1P9	
URB1	
MTRNR2L3	
PRSS16	
	
RAE1	
	
	
	
PRB3	
	
IFITM3	614680
CD99	
	
	
PHBP4	
	
NEUROD1	606394
NEUROD1	125853
MICG	
RPL26P30	
GALNT13	
	
CD81-AS1	
	
CXorf56	
TPT1P11	
GABBR1	
	
	
	
NDUFB4P9	
	
	
SCOC-AS1	
CD81	613496
